character,sentence,line,document,shengmu,yunmu,shengdiao,bihua,cixing,sentiment,sentiment_score,td_idf,degree,pos
可,可道,"道，可道，非常道。名，可名，非常名。无名，天地之始；有名，万物之母。故常无欲，以观其妙；常有欲，以观其徼。此两者同出而异名，同谓之玄。玄之又玄，众妙之门。
",./道德经.txt,k,e,3,5,v,negative,0.907500379111566,1,0,2
可,可名,"道，可道，非常道。名，可名，非常名。无名，天地之始；有名，万物之母。故常无欲，以观其妙；常有欲，以观其徼。此两者同出而异名，同谓之玄。玄之又玄，众妙之门。
",./道德经.txt,k,e,3,5,v,negative,0.907500379111566,1,0,11
可,不见可欲使民心不乱,"不尚贤使民不争；不贵难得之货使民不为盗；不见可欲使民心不乱。是以圣人之治：虚其心，实其腹；弱其志，强其骨。常使民无知无欲。使夫知者不敢为也。为无为，则无不治。
",./道德经.txt,k,e,3,5,v,negative,0.9999999999873954,1,0,22
可,不可长保,"持而盈之，不如其已。揣而锐之，不可长保。金玉满堂，莫之能守。富贵而骄，自遗其咎。功遂身退，天之道。
",./道德经.txt,k,e,3,5,v,negative,0.9990397441143716,1,0,16
可,若可寄天下,"宠辱若惊，贵大患若身。何谓宠辱若惊？宠为上辱为下，得之若惊，失之若惊，是谓宠辱若惊。何谓贵大患若身？吾所以有大患者，为吾有身，及吾无身，吾有何患？故贵以身为天下，若可寄天下；爱以身为天下，若可托天下。
",./道德经.txt,k,e,3,5,v,negative,0.9999981316088794,1,0,82
可,若可托天下,"宠辱若惊，贵大患若身。何谓宠辱若惊？宠为上辱为下，得之若惊，失之若惊，是谓宠辱若惊。何谓贵大患若身？吾所以有大患者，为吾有身，及吾无身，吾有何患？故贵以身为天下，若可寄天下；爱以身为天下，若可托天下。
",./道德经.txt,k,e,3,5,v,negative,0.9999981316088794,1,0,95
可,不可致诘,"视之不见曰夷；听之不闻曰希；搏之不得曰微。此三者，不可致诘，故混而为一。其上不皎，其下不昧，绳绳不可名，复归于无物。是谓无状之状，无物之象，是谓惚恍。迎之不见其首，随之不见其后。执古之道，以御今之有，能知古始。是谓道纪。
",./道德经.txt,k,e,3,5,v,negative,0.9999999824211933,1,0,26
可,绳绳不可名,"视之不见曰夷；听之不闻曰希；搏之不得曰微。此三者，不可致诘，故混而为一。其上不皎，其下不昧，绳绳不可名，复归于无物。是谓无状之状，无物之象，是谓惚恍。迎之不见其首，随之不见其后。执古之道，以御今之有，能知古始。是谓道纪。
",./道德经.txt,k,e,3,5,v,negative,0.9999999824211933,1,0,49
可,深不可识,"古之善为道者，微妙玄通，深不可识。夫唯不可识，故强为之容：豫兮，若冬涉川；犹兮，若畏四邻；俨兮，其若客；涣兮，其若凌释；敦兮，其若朴；旷兮，其若谷；混兮，其若浊。孰能浊以止？静之徐清；孰能安以久？动之徐生。保此道者不欲盈。夫唯不盈故能蔽而新成。
",./道德经.txt,k,e,3,5,v,positive,0.9965497578874997,1,0,14
可,夫唯不可识,"古之善为道者，微妙玄通，深不可识。夫唯不可识，故强为之容：豫兮，若冬涉川；犹兮，若畏四邻；俨兮，其若客；涣兮，其若凌释；敦兮，其若朴；旷兮，其若谷；混兮，其若浊。孰能浊以止？静之徐清；孰能安以久？动之徐生。保此道者不欲盈。夫唯不盈故能蔽而新成。
",./道德经.txt,k,e,3,5,v,positive,0.9965497578874997,1,0,20
